Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=13339|UniProtKB=O95239	KIF4A	Chromosome-associated kinesin KIF4A;KIF4A;ortholog	microtubule motor activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular component movement(GO:0044238)	protein complex(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=14011|UniProtKB=O95347	SMC2	Structural maintenance of chromosomes protein 2;SMC2;ortholog	hydrolase activity(GO:0003824);nucleic acid binding(GO:0016787);chromatin binding(GO:0005488)	DNA replication(GO:0008152);DNA repair(GO:0044238);mitosis(GO:0006139);chromosome segregation(GO:0006259);chromatin organization(GO:0006260)	
HUMAN|HGNC=8609|UniProtKB=O95453	PARN	Poly(A)-specific ribonuclease PARN;PARN;ortholog	poly(A) RNA binding(GO:0005488)	mRNA polyadenylation(GO:0008152)	
HUMAN|HGNC=8508|UniProtKB=O95747	OXSR1	Serine/threonine-protein kinase OSR1;OXSR1;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	intracellular(GO:0044464)
HUMAN|HGNC=6918|UniProtKB=O95983	MBD3	Methyl-CpG-binding domain protein 3;MBD3;ortholog	DNA binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=7193|UniProtKB=O96007	MOCS2	Molybdopterin synthase catalytic subunit;MOCS2;ortholog	catalytic activity(GO:0003824)	coenzyme metabolic process(GO:0008152);phosphate-containing compound metabolic process(GO:0006732);nitrogen compound metabolic process(GO:0006796);biosynthetic process(GO:0006807);prosthetic group metabolic process(GO:0009058);cellular process(GO:0044238)	cytoplasm(GO:0044464)
HUMAN|HGNC=1852|UniProtKB=P07199	CENPB	Major centromere autoantigen B;CENPB;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700);centromeric DNA binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);mRNA transcription(GO:0044238);mRNA transcription(GO:0006139)	
HUMAN|HGNC=2090|UniProtKB=P09496	CLTA	Clathrin light chain A;CLTA;ortholog		intracellular protein transport(GO:0051179);receptor-mediated endocytosis(GO:0006810)	vesicle coat(GO:0032991);cytoplasm(GO:0043234)
HUMAN|HGNC=7971|UniProtKB=P13056	NR2C1	Nuclear receptor subfamily 2 group C member 1;NR2C1;ortholog	ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0001071);ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0003700);ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0000981)	transcription from RNA polymerase II promoter(GO:0008152);lipid metabolic process(GO:0044238);cell cycle(GO:0006139);cell communication(GO:0016070);visual perception(GO:0006351);sensory perception(GO:0006366);regulation of transcription from RNA polymerase II promoter(GO:0006629)	
HUMAN|HGNC=5045|UniProtKB=P14866	HNRNPL	Heterogeneous nuclear ribonucleoprotein L;HNRNPL;ortholog			
HUMAN|HGNC=12828|UniProtKB=P18887	XRCC1	DNA repair protein XRCC1;XRCC1;ortholog		nitrogen compound metabolic process(GO:0008152);DNA repair(GO:0006807);cellular process(GO:0044238);response to stress(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=9065|UniProtKB=P19174	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1;PLCG1;ortholog	phospholipase activity(GO:0003824);calcium ion binding(GO:0016787);receptor binding(GO:0016788);small GTPase regulator activity(GO:0016298);guanyl-nucleotide exchange factor activity(GO:0004620)	phospholipid metabolic process(GO:0008152);phospholipid metabolic process(GO:0006796);cell communication(GO:0006644);regulation of catalytic activity(GO:0044238)	
HUMAN|HGNC=5033|UniProtKB=P22626	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1;HNRNPA2B1;ortholog			
HUMAN|HGNC=11612|UniProtKB=P23193	TCEA1	Transcription elongation factor A protein 1;TCEA1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=11572|UniProtKB=P26639	TARS	Threonine--tRNA ligase, cytoplasmic;TARS;ortholog	ligase activity(GO:0003824)	tRNA metabolic process(GO:0008152);protein metabolic process(GO:0044238)	
HUMAN|HGNC=10452|UniProtKB=P31350	RRM2	Ribonucleoside-diphosphate reductase subunit M2;RRM2;ortholog	oxidoreductase activity(GO:0003824)	purine nucleobase metabolic process(GO:0008152);pyrimidine nucleobase metabolic process(GO:0044238)	
HUMAN|HGNC=5229|UniProtKB=P31689	DNAJA1	DnaJ homolog subfamily A member 1;DNAJA1;ortholog		immune system process(GO:0002376)	
HUMAN|HGNC=4652|UniProtKB=P35269	GTF2F1	General transcription factor IIF subunit 1;GTF2F1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=11554|UniProtKB=P37802	TAGLN2	Transgelin-2;TAGLN2;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	muscle contraction(GO:0032501)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=2184|UniProtKB=P38432	COIL	Coilin;COIL;ortholog	DNA binding(GO:0005488)	mitosis(GO:0009987)	
HUMAN|HGNC=4801|UniProtKB=P40939	HADHA	Trifunctional enzyme subunit alpha, mitochondrial;HADHA;ortholog	oxidoreductase activity(GO:0003824);hydro-lyase activity(GO:0016491);racemase and epimerase activity(GO:0016829)	carbohydrate metabolic process(GO:0008152);fatty acid beta-oxidation(GO:0044238);translation(GO:0005975)	
HUMAN|HGNC=11875|UniProtKB=P42166	TMPO	Lamina-associated polypeptide 2, isoform alpha;TMPO;ortholog	hormone activity(GO:0005488)	immune system process(GO:0002376);cellular defense response(GO:0050896)	
HUMAN|HGNC=12628|UniProtKB=P45974	USP5	Ubiquitin carboxyl-terminal hydrolase 5;USP5;ortholog			
HUMAN|HGNC=7107|UniProtKB=P46013	MKI67	Antigen KI-67;MKI67;ortholog			
HUMAN|HGNC=2362|UniProtKB=P46108	CRK	Adapter molecule crk;CRK;ortholog		cell communication(GO:0009987)	
HUMAN|HGNC=9587|UniProtKB=P48651	PTDSS1	Phosphatidylserine synthase 1;PTDSS1;ortholog		phospholipid metabolic process(GO:0008152);biosynthetic process(GO:0006796);phospholipid metabolic process(GO:0006644);cellular process(GO:0009058)	membrane(GO:0016020)
HUMAN|HGNC=2452|UniProtKB=P48730	CSNK1D	Casein kinase I isoform delta;CSNK1D;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);cellular component morphogenesis(GO:0019538);response to stimulus(GO:0006464);vesicle-mediated transport(GO:0006468);regulation of biological process(GO:0009987);cellular component organization(GO:0007154)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=6990|UniProtKB=P51608	MECP2	Methyl-CpG-binding protein 2;MECP2;ortholog	methyltransferase activity(GO:0003824);nuclease activity(GO:0016740);nucleic acid binding(GO:0008168)	DNA repair(GO:0008152)	
HUMAN|HGNC=5039|UniProtKB=P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F;HNRNPF;ortholog	structural constituent of ribosome(GO:0005198);nucleic acid binding(GO:0003735)	mRNA splicing, via spliceosome(GO:0008152)	
HUMAN|HGNC=3280|UniProtKB=P55884	EIF3B	Eukaryotic translation initiation factor 3 subunit B;EIF3B;ortholog	translation factor activity, nucleic acid binding(GO:0005488);translation factor activity, nucleic acid binding(GO:0003676)	biosynthetic process(GO:0008152);translation(GO:0009058);cellular process(GO:0044238)	protein complex(GO:0032991);cytoplasm(GO:0043234)
HUMAN|HGNC=15577|UniProtKB=P58107	EPPK1	Epiplakin;EPPK1;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular component movement(GO:0009987);anatomical structure morphogenesis(GO:0006928);cellular component organization(GO:0032502)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=12009|UniProtKB=P60174	TPI1	Triosephosphate isomerase;TPI1;ortholog	isomerase activity(GO:0003824)	glycolysis(GO:0008152);glycolysis(GO:0006091)	
HUMAN|HGNC=17271|UniProtKB=P62070	RRAS2	Ras-related protein R-Ras2;RRAS2;ortholog	GTPase activity(GO:0003824);protein binding(GO:0016787)	metabolic process(GO:0008152);cell communication(GO:0009987);intracellular protein transport(GO:0007154);receptor-mediated endocytosis(GO:0051179)	
HUMAN|HGNC=12851|UniProtKB=P62258	YWHAE	14-3-3 protein epsilon;YWHAE;ortholog		cell cycle(GO:0009987)	
HUMAN|HGNC=4783|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=4772|UniProtKB=P68431	HIST1H3A	Histone H3.1;HIST1H3A;ortholog			
HUMAN|HGNC=4768|UniProtKB=P68431	HIST1H3A	Histone H3.1;HIST1H3A;ortholog			
HUMAN|HGNC=4659|UniProtKB=P78347	GTF2I	General transcription factor II-I;GTF2I;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=5048|UniProtKB=Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=11275|UniProtKB=Q01082	SPTBN1	Spectrin beta chain, non-erythrocytic 1;SPTBN1;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular process(GO:0009987);anatomical structure morphogenesis(GO:0032502)	intracellular(GO:0044464)
HUMAN|HGNC=13209|UniProtKB=Q12774	ARHGEF5	Rho guanine nucleotide exchange factor 5;ARHGEF5;ortholog			
HUMAN|HGNC=10791|UniProtKB=Q13242	SRSF9	Serine/arginine-rich splicing factor 9;SRSF9;ortholog			
HUMAN|HGNC=8557|UniProtKB=Q13310	PABPC4	Polyadenylate-binding protein 4;PABPC4;ortholog		ectoderm development(GO:0032502);nervous system development(GO:0007398)	
HUMAN|HGNC=14634|UniProtKB=Q13442	PDAP1	28 kDa heat- and acid-stable phosphoprotein;PDAP1;ortholog			
HUMAN|HGNC=7451|UniProtKB=Q13615	MTMR3	Myotubularin-related protein 3;MTMR3;ortholog		spermatogenesis(GO:0000003)	
HUMAN|HGNC=28968|UniProtKB=Q14153	FAM53B	Protein FAM53B;FAM53B;ortholog			
HUMAN|HGNC=3338|UniProtKB=Q14247	CTTN	Src substrate cortactin;CTTN;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);structural constituent of cytoskeleton(GO:0003700);sequence-specific DNA binding transcription factor activity(GO:0005198);actin binding(GO:0005200)	nucleobase-containing compound metabolic process(GO:0008152);cellular process(GO:0044238);cellular component morphogenesis(GO:0006139);cellular component organization(GO:0009987)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=6181|UniProtKB=Q14571	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2;ITPR2;ortholog	receptor activity(GO:0004872);ligand-gated ion channel activity(GO:0005215)	immune system process(GO:0002376);cellular component movement(GO:0009987);neuromuscular synaptic transmission(GO:0006928);muscle contraction(GO:0007154);neurotransmitter secretion(GO:0007267);response to stress(GO:0007268);cation transport(GO:0007274)	
HUMAN|HGNC=23186|UniProtKB=Q14677	CLINT1	Clathrin interactor 1;CLINT1;ortholog			
HUMAN|HGNC=19309|UniProtKB=Q14678	KANK1	KN motif and ankyrin repeat domain-containing protein 1;KANK1;ortholog			
HUMAN|HGNC=12608|UniProtKB=Q14694	USP10	Ubiquitin carboxyl-terminal hydrolase 10;USP10;ortholog		catabolic process(GO:0008152);cell communication(GO:0009056);response to stress(GO:0009987);regulation of biological process(GO:0007154)	endosome(GO:0043226);cytoplasm(GO:0005768)
HUMAN|HGNC=9312|UniProtKB=Q14738	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;PPP2R5D;ortholog			
HUMAN|HGNC=4429|UniProtKB=Q14789	GOLGB1	Golgin subfamily B member 1;GOLGB1;ortholog			
HUMAN|HGNC=19844|UniProtKB=Q147X3	NAA30	N-alpha-acetyltransferase 30;NAA30;ortholog	acetyltransferase activity(GO:0003824)	protein acetylation(GO:0008152);cellular process(GO:0044238)	protein complex(GO:0032991);cytoplasm(GO:0043234)
HUMAN|HGNC=15608|UniProtKB=Q14978	NOLC1	Nucleolar and coiled-body phosphoprotein 1;NOLC1;ortholog			nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=1112|UniProtKB=Q15003	NCAPH	Condensin complex subunit 2;NCAPH;ortholog			
HUMAN|HGNC=9909|UniProtKB=Q15434	RBMS2	RNA-binding motif, single-stranded-interacting protein 2;RBMS2;ortholog		nervous system development(GO:0032502)	
HUMAN|HGNC=25701|UniProtKB=Q3L8U1	CHD9	Chromodomain-helicase-DNA-binding protein 9;CHD9;ortholog	helicase activity(GO:0003824);binding(GO:0004386)	DNA repair(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);cellular process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0006259);chromatin organization(GO:0006281)	
HUMAN|HGNC=15550|UniProtKB=Q4LE39	ARID4B	AT-rich interactive domain-containing protein 4B;ARID4B;ortholog	DNA binding(GO:0005488)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of nucleobase-containing compound metabolic process(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=16348|UniProtKB=Q8IWW6	ARHGAP12	Rho GTPase-activating protein 12;ARHGAP12;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cell communication(GO:0009987);regulation of catalytic activity(GO:0007154)	
HUMAN|HGNC=12385|UniProtKB=Q53GA4	PHLDA2	Pleckstrin homology-like domain family A member 2;PHLDA2;ortholog			
HUMAN|HGNC=26149|UniProtKB=Q53LP3	SOWAHC	Ankyrin repeat domain-containing protein SOWAHC;SOWAHC;ortholog			
HUMAN|HGNC=30002|UniProtKB=Q58WW2	DCAF6	DDB1- and CUL4-associated factor 6;DCAF6;ortholog	GTPase activity(GO:0003824);protein binding(GO:0016787)	nucleobase-containing compound metabolic process(GO:0008152);cellular process(GO:0044238);regulation of nucleobase-containing compound metabolic process(GO:0006139)	
HUMAN|HGNC=14104|UniProtKB=Q5BKZ1	ZNF326	DBIRD complex subunit ZNF326;ZNF326;ortholog		cell cycle(GO:0009987)	
HUMAN|HGNC=13867|UniProtKB=Q96B97	SH3KBP1	SH3 domain-containing kinase-binding protein 1;SH3KBP1;ortholog	receptor binding(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=28121|UniProtKB=Q5JSZ5	PRRC2B	Protein PRRC2B;PRRC2B;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);nuclease activity(GO:0003700);sequence-specific DNA binding transcription factor activity(GO:0003824)	nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=17859|UniProtKB=Q5SRE5	NUP188	Nucleoporin NUP188 homolog;NUP188;ortholog			
HUMAN|HGNC=21021|UniProtKB=Q5SYE7	NHSL1	NHS-like protein 1;NHSL1;ortholog			
HUMAN|HGNC=24578|UniProtKB=Q5TDH0	DDI2	Protein DDI1 homolog 2;DDI2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);aspartic-type endopeptidase activity(GO:0003712);sequence-specific DNA binding transcription factor activity(GO:0001071);protein binding(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);proteolysis(GO:0044238);intracellular protein transport(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070)	
HUMAN|HGNC=27380|UniProtKB=Q5U4P2	ASPHD1	Aspartate beta-hydroxylase domain-containing protein 1;ASPHD1;ortholog	oxidoreductase activity(GO:0003824)	cellular protein modification process(GO:0008152)	
HUMAN|HGNC=21581|UniProtKB=Q5VZK9	LRRC16A	Leucine-rich repeat-containing protein 16A;LRRC16A;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II(GO:0002376);nucleobase-containing compound metabolic process(GO:0019882);cellular defense response(GO:0002504)	
HUMAN|HGNC=16944|UniProtKB=Q96I25	RBM17	Splicing factor 45;RBM17;ortholog	mRNA binding(GO:0005488)	DNA repair(GO:0008152);mRNA processing(GO:0044238)	
HUMAN|HGNC=29097|UniProtKB=Q66K14	TBC1D9B	TBC1 domain family member 9B;TBC1D9B;ortholog	hydrolase activity(GO:0003824);protein binding(GO:0016787);small GTPase regulator activity(GO:0005488)	metabolic process(GO:0008152);cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);intracellular protein transport(GO:0009653);exocytosis(GO:0032989);regulation of catalytic activity(GO:0051179);cellular component organization(GO:0006810)	
HUMAN|HGNC=25071|UniProtKB=Q6IBW4	NCAPH2	Condensin-2 complex subunit H2;NCAPH2;ortholog			
HUMAN|HGNC=23711|UniProtKB=Q6NUK4	REEP3	Receptor expression-enhancing protein 3;REEP3;ortholog	receptor activity(GO:0004872);transmembrane transporter activity(GO:0005215)	carbohydrate metabolic process(GO:0008152);carbohydrate transport(GO:0044238)	
HUMAN|HGNC=11536|UniProtKB=Q6P1X5	TAF2	Transcription initiation factor TFIID subunit 2;TAF2;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=17157|UniProtKB=Q6P2E9	EDC4	Enhancer of mRNA-decapping protein 4;EDC4;ortholog			protein complex(GO:0032991)
